user_id,register_date,platform,country_code,ftd_returning_users,n_of_purchases,total_spend,avg_spend_per_purchase,ftd_date,dfr_to_1st_purchase,purchase_amount_1st_purchase,coins_received_1st_purchase,balance_before_1st_purchase,spins_bf_1st_purchase,xp_level_1st_purchase,date_2nd_purchase,dfr_to_2nd_purchase,purchase_amount_2nd_purchase,coins_received_2nd_purchase,balance_before_2nd_purchase,spins_bf_2nd_purchase,xp_level_2nd_purchase
1d589deb-2784-4a02-82d7-d565c7962227,2023-04-09,ANDROID,US,Yes,2,4.98,2.49,2023-05-08,29,1.99,80000000,2056525,5716,89,2023-05-10,31,2.99,90000000,32120025,6402,103
e817bdc4-c72b-4762-beca-9fce198adf3a,2023-05-02,ANDROID,US,No,1,0.99,0.99,2023-05-02,0,0.99,12000000,5978350,358,10,,,,,,0,
f7a85b75-442f-4c33-9862-9007cc1a60eb,2023-05-17,IOS,US,Yes,2,4.98,2.49,2023-05-17,0,1.99,60000000,2321050,488,34,2023-05-18,1,2.99,60000000,96550,1386,75
e8bcb750-c71f-4004-9a95-2d2f90671d1f,2023-06-02,ANDROID,US,No,1,0.99,0.99,2023-06-09,7,0.99,14000000,10000000,0,1,,,,,,0,
28e872f6-8857-4294-aeea-c9cc9335162d,2023-01-08,ANDROID,US,Yes,11,61.89,5.626363636363636,2023-01-09,1,0.99,50000000,1780256,1987,45,2023-01-14,6,5.99,125000000,3373131,6760,104
2bb641aa-dfbe-4103-a82f-fc6cdfa282c8,2023-05-19,IOS,US,No,1,0.99,0.99,2023-05-28,9,0.99,15000000,1125250,993,46,,,,,,0,
1ffd673a-bfa5-452d-a2f1-6a46070e3579,2023-03-04,ANDROID,US,No,1,2.99,2.99,2023-05-27,84,2.99,48000000,14095170,247,11,,,,,,0,
9e5a23e8-7ce7-4b80-a642-9ddaa853654f,2023-03-06,ANDROID,US,No,1,0.99,0.99,2023-03-10,4,0.99,50000000,145265,420,34,,,,,,0,
225667a3-506f-422b-bc4b-db1c91caf1a2,2023-03-17,ANDROID,US,No,1,0.99,0.99,2023-04-07,21,0.99,18000000,582849,640,33,,,,,,0,
c7715dd7-456f-483f-9b87-e511ffbbc2f5,2023-04-21,ANDROID,US,No,1,0.99,0.99,2023-04-26,5,0.99,33000000,647650,457,41,,,,,,0,
f897e88c-15ca-4867-be21-0a875c9e1448,2023-05-31,IOS,XX,Yes,10,134.89999999999998,13.489999999999998,2023-05-31,0,49.99,1350000000,9541750,30,5,2023-05-31,0,9.99,180000000,1362475450,169,12
de606a4a-267c-4673-bf0d-69e26096f3e2,2023-06-01,ANDROID,US,No,1,2.99,2.99,2023-06-01,0,2.99,36000000,7087461,541,23,,,,,,0,
a6eac833-f887-4a2c-b270-d8469cef5be2,2023-01-24,ANDROID,XX,Yes,11,124.87808082614902,11.352552802377183,2023-01-31,7,28.750939743788503,1500000000,47575,1404,106,2023-02-01,8,0.2861517676037888,7200000,519284575,1441,137
04929a5a-5a4a-4039-9c90-b9255d70f853,2023-03-02,ANDROID,US,No,1,2.99,2.99,2023-03-02,0,2.99,30000000,7816000,116,9,,,,,,0,
3df7ad83-8a2c-42a5-8bd3-c4e54b8b7876,2023-03-15,ANDROID,US,No,1,1.99,1.99,2023-03-16,1,1.99,30000000,8283250,314,20,,,,,,0,
4a4c6c48-3d7e-41a0-a9f2-af65c946580f,2023-04-10,ANDROID,US,Yes,4,11.96,2.99,2023-04-29,19,0.99,35000000,2371,2658,82,2023-06-03,54,1.99,48000000,155132,8992,125
7429fc43-7eaf-4dae-b580-26a75a335131,2023-01-09,ANDROID,XX,No,1,99.99,99.99,2023-01-10,1,99.99,3300000000,9085000,4,2,,,,,,0,
c5ec599e-d3e2-41af-86de-1a6300613473,2023-02-10,ANDROID,US,No,1,0.99,0.99,2023-03-04,22,0.99,50000000,2540106,804,31,,,,,,0,
d53858a3-1d45-4be2-aae2-fce83a1f2d35,2023-03-06,ANDROID,US,No,1,2.99,2.99,2023-03-06,0,2.99,30000000,2152800,417,36,,,,,,0,
8a6430b2-25a3-4413-baf1-12b429e2d884,2023-01-06,ANDROID,US,Yes,16,85.83999999999999,5.364999999999999,2023-01-06,0,5.99,660000,290000,10,3,2023-01-06,0,4.99,610000,1031905,57,5
e8a65244-80bc-41cc-a1a1-cec503f02cdd,2023-05-15,ANDROID,BR,No,1,0.4050689722206077,0.4050689722206077,2023-05-15,0,0.4050689722206077,24000000,16160350,139,10,,,,,,0,
44e44d79-315c-4888-8eba-d5d51133c628,2023-06-06,ANDROID,US,No,1,2.99,2.99,2023-06-10,4,2.99,48000000,64250,810,37,,,,,,0,
f33e84c7-2fca-48f4-879c-2555cd9aa72b,2023-03-10,IOS,US,No,1,2.99,2.99,2023-03-10,0,2.99,100000000,12673100,201,12,,,,,,0,
9e269d14-8e0e-488f-b754-1a6c787ce42a,2023-03-20,IOS,US,No,1,2.99,2.99,2023-03-20,0,2.99,100000000,3152435,206,18,,,,,,0,
b3aa9b26-1732-4648-8061-1ed39305d1b0,2023-04-06,ANDROID,PR,Yes,2,3.9800000000000004,1.9900000000000002,2023-06-13,68,0.99,35000000,36650,1183,63,2023-06-17,72,2.99,30000000,4259975,2738,80
e5180265-5fee-4456-be6c-68e73684b737,2023-04-19,IOS,DE,Yes,2,4.98,2.49,2023-05-02,13,0.99,14000000,10727650,204,14,2023-06-12,54,3.99,40000000,10867190,686,71
8f77c004-150a-42f6-b14d-3af7b2e14ae6,2023-01-11,ANDROID,XX,No,1,0.99,0.99,2023-04-20,99,0.99,14000000,6095700,214,15,,,,,,0,
a6c16b2e-0454-48c2-942a-9da95f472e6c,2023-01-12,ANDROID,XX,No,1,0.0029273701819477545,0.0029273701819477545,2023-05-05,113,0.0029273701819477545,34000000,2220,5368,80,,,,,,0,
